"Cod Cliente","Cliente","UF","Cidade","Região"
"0001382","Lara Pinto Barros","SP ","CAMPINAS ","SU"
"0001392","Beatriz Pereira Martins","PB ","CAMPINA GRANDE ","NE"
"0001402","Breno Almeida Costa","MT ","Cuiaba ","SU"
"0001412","Vitória Barbosa Ferreira","SP ","INDAIATUBA ","SU"
"0001422","Marina Dias Goncalves","BA ","Ipirá ","NE"
"0001432","Yasmin Costa Pinto","MG ","IGUATAMA ","SU"
"0001442","Luís Rocha Dias","PA ","PARAUAPEBAS ","NO"
"0001452","Vitor Ferreira Souza","MA ","IMPERATRIZ ","NE"
"0001462","Manuela Cardoso Costa","RJ ","ILHA DO GOVERNADOR ","SU"
"0001472","Carla Dias Cavalcanti","SP ","HORTOLANDIA ","SU"
"0001482","Sofia Pereira Araujo","MA ","IMPERATRIZ ","NE"
"0001492","Gabrielly Barros Goncalves","BA ","Ipirá ","NE"
"0001502","Gabrielle Ferreira Cavalcanti","SP ","AVARE ","SU"
"0001512","Ágatha Carvalho Dias","MG ","BAEPENDI ","SU"
"0001522","Mariana Lima Goncalves","BA ","ITABERABA ","NE"
"0001532","Lara Melo Costa","MG ","Juiz de Fora ","SU"
"0001542","Livia Souza Martins","MG ","ITAOBIM ","SU"
"0001552","Guilherme Souza Silva","PE ","RECIFE ","NE"
"0001562","Paulo Cunha Almeida","MA ","IMPERATRIZ ","NE"
"0001572","Amanda Almeida Santos","PR ","CURITIBA ","SU"
"0001582","Julian Correia Ribeiro","MT ","CUIABA ","SU"
"0001592","Júlio Azevedo Sousa","SP ","Indaiatuba ","SU"
"0001602","Luis Fernandes Oliveira","SE ","ITABAIANA ","NE"
"0001612","Nicolash Dias Melo","SP ","INDAIATUBA ","SU"
"0001622","Rebeca Melo Cunha","MG ","IPATINGA ","SU"
"0001632","Ryan Dias Rocha","CE ","INDEPENDENCIA ","NE"
"0001642","Igor Souza Gomes","SP ","Santa Barbara d'Oeste ","SU"
"0001652","Breno Lima Martins","BA ","ITABUNA ","NE"
"0001662","Gabriela Carvalho Cardoso","BA ","ITABUNA ","NE"
"0001672","Brenda Sousa Costa","SP ","ATIBAIA ","SU"
"0001682","Carlos Santos Melo","MG ","Baependi ","SU"
"0001692","Eduarda Lima Carvalho","MT ","CUIABA ","SU"
"0001702","Rafaela Pereira Azevedo","MT ","CUIABA ","SU"
"0001722","Estevan Dias Cardoso","BA ","ITABERABA ","NE"
"0001732","Sarah Lima Rodrigues","GO ","GOIANIA ","SU"
"0001742","Marcos Pinto Goncalves","SP ","INDAIATUBA ","SU"
"0001752","Julia Lima Azevedo","SP ","SANTANA DE PARNAIBA ","SU"
"0001762","Emily Cardoso Goncalves","SP ","MOGI-MIRIM ","SU"
"0001772","Isabela Carvalho Rodrigues","MA ","Imperatriz ","NE"
"0001782","Amanda Carvalho Rocha","MA ","Itapecuru Mirim ","NE"
"0001792","Gustavo Cunha Rodrigues","SC ","BALNEARIO CAMBORIU ","SU"
"0001802","Marcos Alves Araujo","PI ","TERESINA ","NE"
"0001812","Ágatha Sousa Souza","SP ","SAO PAULO ","SU"
"0001822","Rebeca Barbosa Araujo","SP ","SAO PAULO ","SU"
"0001832","Rafael Rodrigues Ribeiro","SP ","SAO PAULO ","SU"
"0001842","Lara Carvalho Correia","SP ","SAO PAULO ","SU"
"0001852","Vitoria Cardoso Pereira","SP ","SAO PAULO ","SU"
"0001862","Laura Correia Azevedo","SP ","SAO PAULO ","SU"
"0001872","Carolina Alves Cavalcanti","PB ","JOAO PESSOA ","NE"
"0001882","Julia Fernandes Sousa","SP ","SAO PAULO ","SU"
"0001892","Samuel Dias Lima","SP ","SAO PAULO ","SU"
"0001902","Júlio Oliveira Pinto","SP ","SAO PAULO ","SU"
"0001912","Daniel Silva Castro","SP ","SAO PAULO ","SU"
"0001922","Julian Barros Sousa","SP ","SAO PAULO ","SU"
"0001932","Julian Lima Martins","CE ","CAMOCIM ","NE"
"0001942","Rafaela Rodrigues Azevedo","DF ","Brasilia ","SU"
"0001952","Julian Barbosa Souza","MG ","BELO HORIZONTE ","SU"
"0001962","Lara Pereira Sousa","PE ","RECIFE ","NE"
"0001972","Sarah Araujo Castro","ES ","Vitoria ","SU"
"0001982","Nicolash Gomes Cavalcanti","AP ","Macapa ","NO"
"0001992","Laura Barbosa Ferreira","DF ","BRASILIA ","SU"
"0002002","Livia Castro Dias","SP ","PIRACICABA ","SU"
"0002012","Arthur Barbosa Rocha","TO ","PALMAS ","NO"
"0002022","Mariana Castro Silva","TO ","Palmas ","NO"
"0002032","Amanda Melo Souza","AL ","MACEIO ","NE"
"0002042","Isabelle Cardoso Melo","SC ","XANXERE ","SU"
"0002052","Lucas Correia Cardoso","MG ","BELO HORIZONTE ","SU"
"0002062","Sophia Correia Almeida","MG ","BELO HORIZONTE ","SU"
"0002072","Julian Oliveira Araujo","MG ","Belo Horizonte ","SU"
"0002082","Samuel Alves Rocha","MG ","BELO HORIZONTE ","SU"
"0002092","Estevan Costa Alves","SP ","PIRACICABA ","SU"
"0002102","Letícia Souza Gomes","0","0","Exterior"
"0002112","Diego Rodrigues Lima","0","0","Exterior"
"0002122","Renan Carvalho Martins","SP ","PIRACICABA ","SU"
"0002132","Maria Fernandes Barros","RJ ","Volta Redonda ","SU"
"0002142","Rebeca Castro Dias","SP ","RIO CLARO ","SU"
"0002152","Thiago Alves Almeida","0","0","Exterior"
"0002162","Miguel Castro Barbosa","SP ","Braganca Paulista ","SU"
"0002172","Luan Barbosa Sousa","MG ","BELO HORIZONTE ","SU"
"0002182","Nicole Cunha Azevedo","MG ","BELO HORIZONTE ","SU"
"0002192","Miguel Araujo Silva","MG ","Belo Horizonte ","SU"
"0002202","Douglas Castro Alves","MG ","BELO HORIZONTE ","SU"
"0002212","Diego Pereira Ferreira","DF ","BRASILIA ","SU"
"0002222","Fernanda Azevedo Melo","MG ","BELO HORIZONTE ","SU"
"0002232","Matilde Gomes Goncalves","MG ","Belo Horizonte ","SU"
"0002242","Raissa Santos Araujo","RO ","PORTO VELHO ","NO"
"0002252","João Almeida Cardoso","0","0","Exterior"
"0002262","Julia Rodrigues Alves","SC ","Timbo ","SU"
"0002272","Ágatha Cunha Rodrigues","MG ","Belo Horizonte ","SU"
"0002282","Gabriela Rocha Araujo","MG ","BELO HORIZONTE ","SU"
"0002292","João Costa Santos","MG ","Belo Horizonte ","SU"
"0002302","Vitoria Almeida Carvalho","RJ ","BOM JESUS DO ITABAPOANA ","SU"
"0002312","Ryan Alves Melo","0","0","Exterior"
"0002322","Otávio Castro Lima","PR ","MARINGA ","SU"
"0002332","Miguel Rocha Ribeiro","SP ","CAMPINAS ","SU"
"0002342","Vitoria Cunha Cardoso","RO ","Porto Velho ","NO"
"0002352","Lucas Melo Alves","GO ","Goiania ","SU"
"0002362","Enzo Sousa Rodrigues","SP ","Presidente Prudente ","SU"
"0002372","Isabella Barbosa Castro","PE ","Recife ","NE"
"0002392","Laura Ferreira Alves","MG ","JUIZ DE FORA ","SU"
"0002402","Isabella Dias Fernandes","MG ","BELO HORIZONTE ","SU"
"0002412","Beatrice Sousa Pinto","MG ","BELO HORIZONTE ","SU"
"0002422","Sarah Sousa Araujo","MG ","BELO HORIZONTE ","SU"
"0002432","Carla Carvalho Pinto","MG ","Belo Horizonte ","SU"
"0002442","Giovanna Fernandes Araujo","MG ","BELO HORIZONTE ","SU"
"0002452","Letícia Costa Cavalcanti","MG ","BELO HORIZONTE ","SU"
"0002462","Giovana Araujo Cavalcanti","MG ","BELO HORIZONTE ","SU"
"0002472","Camila Sousa Alves","SP ","CAMPINAS ","SU"
"0002482","Alice Cunha Souza","MG ","JUIZ DE FORA ","SU"
"0002492","Evelyn Gomes Oliveira","MG ","VICOSA ","SU"
"0002502","Renan Pereira Rocha","MG ","BELO HORIZONTE ","SU"
"0002512","Rodrigo Pinto Melo","MG ","BELO HORIZONTE ","SU"
"0002522","Ana Santos Carvalho","ES ","CACHOEIRO DE ITAPEMIRIM ","SU"
"0002532","Anna Fernandes Silva","MG ","BELO HORIZONTE ","SU"
"0002542","Beatrice Araujo Azevedo","SP ","PRESIDENTE PRUDENTE ","SU"
"0002552","Larissa Sousa Pereira","RJ ","RIO DE JANEIRO ","SU"
"0002562","Isabela Cavalcanti Ribeiro","SP ","SAO PAULO ","SU"
"0002572","Isabella Pereira Azevedo","0","0","Exterior"
"0002582","Diogo Fernandes Almeida","DF ","Brasilia ","SU"
"0002592","Emilly Almeida Dias","MG ","BELO HORIZONTE ","SU"
"0002612","Matheus Costa Souza","SP ","Caraguatatuba ","SU"
"0002622","Nicole Carvalho Fernandes","MG ","Belo Horizonte ","SU"
"0002632","Anna Gomes Ribeiro","MG ","BELO HORIZONTE ","SU"
"0002642","Leonardo Silva Rocha","0","0","Exterior"
"0002652","Luis Costa Correia","SP ","RIBEIRAO PRETO ","SU"
"0002662","Melissa Barbosa Ferreira","0","0","Exterior"
"0002672","Murilo Oliveira Gomes","MG ","MONTES CLAROS ","SU"
"0002682","Fábio Oliveira Castro","CE ","FORTALEZA ","NE"
"0002692","Vitoria Barros Souza","DF ","BRASILIA ","SU"
"0002702","Isabella Lima Costa","SP ","JUNDIAI ","SU"
"0002712","Matilde Barros Martins","SP ","MARILIA ","SU"
"0002722","Murilo Martins Pereira","PE ","RECIFE ","NE"
"0002732","Leonor Martins Pereira","CE ","FORTALEZA ","NE"
"0002742","Murilo Dias Alves","SP ","Bauru ","SU"
"0002762","Isabella Castro Oliveira","MG ","BELO HORIZONTE ","SU"
"0002772","Thaís Barbosa Oliveira","MG ","Betim ","SU"
"0002782","Sarah Dias Rocha","MG ","BELO HORIZONTE ","SU"
"0002792","Nicolash Oliveira Santos","MG ","BELO HORIZONTE ","SU"
"0002802","Evelyn Almeida Ribeiro","BA ","BRUMADO ","NE"
"0002822","Erick Castro Cavalcanti","RJ ","RIO DE JANEIRO ","SU"
"0002832","Nicole Azevedo Pinto","MG ","JUIZ DE FORA ","SU"
"0002842","José Cunha Oliveira","SP ","LIMEIRA ","SU"
"0002852","Murilo Costa Alves","DF ","BRASILIA ","SU"
"0002862","Tiago Cardoso Cunha","MG ","BELO HORIZONTE ","SU"
"0002872","Aline Costa Alves","MG ","Belo Horizonte ","SU"
"0002882","Ágatha Almeida Barros","MG ","Belo Horizonte ","SU"
"0002892","Caio Ribeiro Correia","0","0","Exterior"
"0002902","Luiza Castro Gomes","MG ","Manhuacu ","SU"
"0002912","Guilherme Sousa Cardoso","TO ","PALMAS ","NO"
"0002922","Ana Dias Cardoso","0","0","Exterior"
"0002932","Gabriela Rocha Carvalho","0","0","Exterior"
"0002942","Daniel Oliveira Cunha","RJ ","RIO DAS OSTRAS ","SU"
"0002952","Gabrielle Dias Souza","PB ","CAMPINA GRANDE ","NE"
"0002962","Felipe Martins Alves","MG ","BELO HORIZONTE ","SU"
"0002972","Melissa Barbosa Almeida","MG ","Belo Horizonte ","SU"
"0002982","Cauã Araujo Fernandes","MG ","Belo Horizonte ","SU"
"0002992","Martim Correia Araujo","MG ","BELO HORIZONTE ","SU"
"0003002","Yasmin Cunha Fernandes","MG ","Belo Horizonte ","SU"
"0003012","Beatriz Alves Azevedo","PR ","Maringa ","SU"
"0003022","Renan Castro Gomes","ES ","VITORIA ","SU"
"0003032","Emilly Barbosa Almeida","DF ","BRASILIA ","SU"
"0003042","Eduarda Cavalcanti Souza","MG ","Belo Horizonte ","SU"
"0003052","Vitoria Santos Souza","DF ","BRASILIA ","SU"
"0003062","Sofia Castro Araujo","RN ","NATAL ","NE"
"0003072","Kauã Costa Almeida","SP ","MOGI DAS CRUZES ","SU"
"0003082","Douglas Cardoso Goncalves","0","0","Exterior"
"0003092","Júlia Carvalho Castro","AC ","Rio Branco ","NO"
"0003112","Marisa Carvalho Ferreira","DF ","BRASILIA ","SU"
"0003122","Ryan Gomes Cunha","DF ","BRASILIA ","SU"
"0003132","Rodrigo Rodrigues Melo","RR ","Boa Vista ","NO"
"0003142","Larissa Santos Rodrigues","CE ","FORTALEZA ","NE"
"0003152","Marisa Pinto Fernandes","MG ","BELO HORIZONTE ","SU"
"0003162","Douglas Cardoso Castro","PA ","BELEM ","NO"
"0003172","Bruna Goncalves Barbosa","0","0","Exterior"
"0003182","Kaua Cunha Lima","0","0","Exterior"
"0003192","Rebeca Correia Barbosa","0","0","Exterior"
"0003202","Isabelle Ribeiro Gomes","ES ","Vitoria ","SU"
"0003212","João Fernandes Rodrigues","MG ","BELO HORIZONTE ","SU"
"0003222","Renan Cavalcanti Rocha","SP ","CAMPINAS ","SU"
"0003232","Felipe Rocha Azevedo","PE ","RECIFE ","NE"
"0003242","Gabrielly Alves Rocha","PR ","Curitiba ","SU"
"0003252","Lucas Goncalves Barros","MG ","MONTES CLAROS ","SU"
"0003262","Marisa Rocha Castro","RS ","BENTO GONCALVES ","SU"
"0003272","Isabella Barbosa Fernandes","DF ","BRASILIA ","SU"
"0003282","Renan Barros Ribeiro","PA ","Belem ","NO"
"0003292","Matilde Ribeiro Silva","MG ","Uberlandia ","SU"
"0003302","Isabella Azevedo Alves","PR ","Curitiba ","SU"
"0003312","Evelyn Pereira Azevedo","PE ","RECIFE ","NE"
"0003322","Felipe Oliveira Dias","MG ","Belo Horizonte ","SU"
"0003332","Luis Santos Alves","SP ","CAMPINAS ","SU"
"0003342","Marisa Almeida Cavalcanti","BA ","BRUMADO ","NE"
"0003352","Isabelle Gomes Cardoso","MG ","Belo Horizonte ","SU"
"0003362","Marina Barbosa Alves","SP ","BOTUCATU ","SU"
"0003372","Emily Alves Goncalves","SP ","CARAGUATATUBA ","SU"
"0003382","Mariana Rodrigues Azevedo","MG ","MIRAI ","SU"
"0003392","Anna Araujo Cavalcanti","MG ","Belo Horizonte ","SU"
"0003402","Miguel Rocha Araujo","0","0","Exterior"
"0003412","Giovana Almeida Barbosa","0","0","Exterior"
"0003432","Yasmin Ribeiro Gomes","PI ","PICOS ","NE"
"0003442","Isabela Cavalcanti Costa","SP ","CAMPINAS ","SU"
"0003452","Joao Rodrigues Souza","DF ","BRASILIA ","SU"
"0003462","Luana Almeida Santos","DF ","BRASILIA ","SU"
"0003472","Laura Melo Oliveira","DF ","BRASILIA ","SU"
"0003482","Camila Barbosa Azevedo","MG ","Belo Horizonte ","SU"
"0003502","Sofia Ribeiro Rocha","0","0","Exterior"
"0003512","Douglas Cardoso Cunha","PE ","GARANHUNS ","NE"
"0003522","Renan Costa Barbosa","MG ","JUIZ DE FORA ","SU"
"0003532","Davi Cardoso Ribeiro","MG ","JUIZ DE FORA ","SU"
"0003542","Paulo Oliveira Correia","0","0","Exterior"
"0003552","Samuel Santos Souza","MG ","BELO HORIZONTE ","SU"
"0003562","Isabela Pinto Barros","MG ","PATOS DE MINAS ","SU"
"0003572","Leonardo Carvalho Ferreira","GO ","GOIANIA ","SU"
"0003582","Gustavo Pereira Dias","ES ","CACHOEIRO DE ITAPEMIRIM ","SU"
"0003592","Bianca Cunha Souza","MG ","Betim ","SU"
"0003602","Ryan Cavalcanti Cunha","MG ","Betim ","SU"
"0003622","Erick Barbosa Fernandes","SP ","LIMEIRA ","SU"
"0003632","Rebeca Rodrigues Araujo","SC ","FLORIANOPOLIS ","SU"
"0003642","Mariana Correia Pinto","PI ","ESPERANTINA ","NE"
"0003652","Kaua Santos Lima","RJ ","NITEROI ","SU"
"0003662","Luan Goncalves Alves","SP ","PIRACAIA ","SU"
"0003672","Victor Azevedo Rocha","DF ","Brasilia ","SU"
"0003682","Enzo Oliveira Pereira","GO ","GOIANIA ","SU"
"0003692","Bianca Ferreira Gomes","PR ","LONDRINA ","SU"
"0003702","Marisa Cunha Dias","RJ ","Niteroi ","SU"
"0003712","Fernanda Cavalcanti Lima","MG ","BELO HORIZONTE ","SU"
"0003722","Victor Rocha Dias","SP ","BOTUCATU ","SU"
"0003732","Matilde Martins Sousa","PB ","CAMPINA GRANDE ","NE"
"0003742","Daniel Pereira Barbosa","MG ","BELO HORIZONTE ","SU"
"0003752","Livia Azevedo Goncalves","0","0","Exterior"
"0003782","Rafaela Ribeiro Ferreira","SC ","BLUMENAU ","SU"
"0003792","Matilde Pereira Pinto","0","0","Exterior"
"0003802","Rebeca Pinto Melo","MG ","BELO HORIZONTE ","SU"
"0003812","Eduarda Melo Oliveira","MG ","CARATINGA ","SU"
"0003822","Júlio Lima Fernandes","MG ","BELO HORIZONTE ","SU"
"0003842","Carolina Barbosa Martins","RN ","NATAL ","NE"
"0003852","Mariana Castro Cunha","CE ","FORTALEZA ","NE"
"0003862","Emilly Goncalves Almeida","MG ","Belo Horizonte ","SU"
"0003872","Rafaela Gomes Silva","MG ","Betim ","SU"
"0003882","Júlia Santos Pinto","SP ","CAMPINAS ","SU"
"0003902","Julia Alves Ribeiro","MT ","LUCAS DO RIO VERDE ","SU"
"0003922","Daniel Azevedo Fernandes","MG ","CONTAGEM ","SU"
"0003932","Julian Souza Pinto","MG ","BETIM ","SU"
"0003942","André Ribeiro Souza","RO ","CACOAL ","NO"
"0003952","Marina Silva Lima","SC ","BLUMENAU ","SU"
"0003962","Isabela Carvalho Cavalcanti","BA ","BRUMADO ","NE"
"0003972","Ágatha Costa Carvalho","DF ","BRASILIA ","SU"
"0003982","Vitór Ribeiro Barbosa","ES ","CACHOEIRO DE ITAPEMIRIM ","SU"
"0003992","Vinicius Lima Dias","MG ","Belo Horizonte ","SU"
"0004002","Vitor Pinto Ribeiro","RJ ","RIO DE JANEIRO ","SU"
"0004022","Guilherme Lima Cardoso","0","0","Exterior"
"0004032","Vitor Correia Gomes","SP ","RIBEIRAO PRETO ","SU"
"0004042","Kauan Costa Ferreira","RN ","NATAL ","NE"
"0004052","Bianca Barbosa Sousa","RS ","Porto Alegre ","SU"
"0004062","Tomás Fernandes Barros","SP ","RIBEIRAO PRETO ","SU"
"0004072","Danilo Dias Costa","MG ","Belo Horizonte ","SU"
"0004082","Rebeca Rodrigues Ferreira","SP ","BOTUCATU ","SU"
"0004092","Tânia Rocha Martins","MG ","BELO HORIZONTE ","SU"
"0004102","Vitoria Ferreira Dias","MG ","MURIAE ","SU"
"0004112","Vinícius Oliveira Santos","MG ","BELO HORIZONTE ","SU"
"0004122","Lavinia Sousa Pinto","SP ","CAMPINAS ","SU"
"0004132","Camila Pinto Pereira","GO ","Goiania ","SU"
"0004142","Daniel Sousa Pereira","DF ","BRASILIA ","SU"
"0004152","Laura Gomes Barbosa","DF ","Brasilia ","SU"
"0004162","Bruna Silva Almeida","MG ","OLIVEIRA ","SU"
"0004172","Rafaela Pereira Carvalho","RR ","Boa Vista ","NO"
"0004182","Kauê Goncalves Barbosa","ES ","CACHOEIRO DE ITAPEMIRIM ","SU"
"0004192","Sofia Cavalcanti Sousa","SP ","CAMPINAS ","SU"
"0004202","Isabelle Azevedo Cardoso","RJ ","MACAE ","SU"
"0004212","Eduardo Goncalves Castro","0","0","Exterior"
